Relay Race Experts

Channel 0 - [2, 0, 0, 0, 2, 2, 0, 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 6, 1, ''] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 6, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', 3, 6, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [3, '', '', '', 3, 6, 4, ''] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', 3, 6, 5, ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 6, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', 3, 6, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 16 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [3, '', '', '', 3, 6, 8, ''] - ['', '', '', '', 2, 2, '', '']
Channel 19 - ['', 0, '', 0, '', 0, '', 0] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 8, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 23 - ['', '', '', '', 3, 6, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 25 - ['', '', '', '', 3, 0, 9, 9] - ['', '', '', '', '', 2, '', '']
Channel 26 - [2, 9, 5, 4, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 7, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 7, 1, ''] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 7, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', 3, 7, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 3, 7, 4, ''] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', 3, 7, 5, ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', 3, 7, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 7, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 3, 7, 8, ''] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 7, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, '', '', 3, 8, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', 3, 8, 1, ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 18 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 19 - ['', 0, '', 0, '', 0, '', 0] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', '', 3, 8, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 8, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 23 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 8, 3, ''] - ['', '', '', '', '', 2, '', '']
Channel 26 - [2, 9, 5, 4, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 27 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', 3, 8, 4, ''] - ['', '', '', '', '', '', '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', 3, 8, 5, ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 8, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', '', '', 3, 8, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [2, '', '', '', 3, 8, 8, ''] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', 3, 8, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', 2, '', '', 3, 9, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', 3, 9, 1, ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 9, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', 3, 9, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 9, 4, ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 16 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 18 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 19 - ['', 0, '', '', 3, 9, 5, ''] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 8, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 0 - ['', '', '', '', 3, 9, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 25 - ['', '', '', '', 3, 0, 9, 9] - ['', '', '', '', '', 2, '', '']
Channel 26 - [2, 9, 5, 4, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 27 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', 3, 9, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [2, '', '', '', 3, 9, 8, ''] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 3, 9, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', 4, 0, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [3, '', '', '', 4, 0, 1, ''] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', 4, 0, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 4, 0, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', 4, 0, 4, ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 0 - [3, '', '', '', 4, 0, 5, ''] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', 4, 0, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', 4, '', '', 4, 0, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 16 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', '', '', 4, 0, 8, ''] - ['', '', '', '', '', '', '', '']
Channel 18 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 19 - ['', 0, '', 0, '', 0, '', 0] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 4, 0, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 8, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 23 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 25 - ['', '', '', '', 3, 0, 9, 9] - ['', '', '', '', '', 2, '', '']
Channel 26 - [2, 9, '', '', 4, 1, 0, ''] - ['', 2, '', '', '', '', '', '']
Channel 27 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', 4, 1, 1, ''] - ['', '', '', '', '', '', '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', 4, 1, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', 4, 1, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 4, 1, 4, ''] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 4, 1, 5, ''] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 4, 1, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, '', '', 4, 1, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', '', '', '', 4, 1, 8, ''] - ['', '', '', '', '', '', '', '']
Channel 2 - [2, '', '', '', 3, 0, 9, 9] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', 4, 1, 9, ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', '', '', '', 4, 2, 0, ''] - ['', '', '', '', '', '', '', '']
Channel 11 - ['', 2, '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 4, 2, 1, ''] - ['', '', '', '', 2, 2, '', '']
Channel 16 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 17 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 18 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 0 - ['', 0, '', '', 4, 2, 2, ''] - ['', '', '', '', '', '', '', '']
Channel 20 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 21 - ['', '', '', 0, '', '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 22 - ['', '', 1, 1, 4, 8, '', ''] - ['', '', '', '', 2, '', '', '']
Channel 0 - ['', '', '', '', 4, 2, 3, ''] - ['', '', '', '', '', '', '', '']
Channel 24 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 25 - ['', '', '', '', 3, 0, 9, 9] - ['', '', '', '', '', 2, '', '']
Channel 26 - [2, 9, 5, 4, '', '', '', ''] - ['', 2, '', '', '', '', '', '']
Channel 27 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 28 - ['', '', '', '', 4, 2, 4, ''] - ['', '', '', '', '', '', '', '']
Channel 29 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 30 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 1 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - [2, '', '', '', 4, 2, 5, ''] - ['', '', '', '', 2, 2, '', '']
Channel 3 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 4 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 5 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 6 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 7 - ['', '', '', '', 4, 2, 6, ''] - ['', '', '', '', '', '', '', '']
Channel 8 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 9 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 10 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 0 - ['', 2, '', '', 4, 2, 7, ''] - ['', '', '', '', '', '', '', '']
Channel 12 - ['', 4, 0, '', '', '', '', 1] - ['', '', '', '', '', '', '', '']
Channel 13 - ['', '', 0, '', 0, '', '', 0] - ['', '', '', '', '', '', '', '']
Channel 14 - ['', '', '', '', '', '', '', ''] - ['', '', '', '', '', '', '', '']
Channel 15 - [3, '', '', '', 2, 9, 5, 4] - ['', '', '', '', 2, 2, '', '']
Channel 1 - ['', '', '', '', 4, 2, 8, ''] - ['', '', '', '', '', '', '', '']
